-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
埵        duo       ftgf      BMEB      57F5      88CA      11        土        12131212211
埶        yi        fqfy      BOBQ      57F6      88CB      11        土        12134121354
執        zhi       fufy      BUQY      57F7      88CC      11        土        12143112354
埸        yi        fjqr      BKRO      57F8      DBFC      11        土        12125113533
培        pei       fukg      BSJ       57F9      C5E0      11        土        12141431251
基        ji        adwf      ECB       57FA      BBF9      11        土        12211134121
埻        zhun      fybg      BSJY      57FB      88CD      11        土        12141251521
埼        qi        fdsk      BGAJ      57FC      88CE      11        土        12113412512
埽        sao       fvph      BXWL      57FD      DCA3      11        土        12151145252
埾        ju        bcff      CEXB      57FE      88CF      11        土        12211154121
埿        ni        inxf      VXRB      57FF      88D0      11        土        44151335121
堀        ku        fnbm      BXZZ      5800      DCA5      11        土        12151352252
堁        ke        fjsy      BKF       5801      88D1      11        土        12125111234
堂        tang      ipkf      KOJB      5802      CCC3      11        土        24345251121
堃        kun       yyff      SYSB      5803      88D2      11        土        41534153121
堄        ni        fvqn      BNRD      5804      88D3      11        土        12132151135
堅        jian      ahnf      HXB       5805      88D4      11        土        12512554121
堆        dui       fwyg      BNI       5806      B6D1      11        土        12132411121
堇        jin       akgf      EAJC      5807      DDC0      11        土        12212511121
堈        gang      fmum      BLD       5808      88D5      11        土        12125431252
堉        yu        fyce      BSZQ      5809      88D6      11        土        12141542511
堊        ya        ghgf      BZB       580A      88D7      11        土        12155121121
堋        peng      feeg      BQQ       580B      DCA1      11        土        12135113511
堌        gu        fldg      BJEJ      580C      88D8      11        土        12125122511
堍        tu        fqky      BRRS      580D      DCA2      11        土        12135251354
堎        leng      ffqt      BBOR      580E      88D9      11        土        12112134354
堏        fang      syff      FSB       580F      88DA      11        土        12344153121
堐        ya        fdff      BGBB      5810      88DB      11        土        12113121121
堑        qian      lrff      HEPB      5811      C7B5      11        土        15213312121
堒        kun       fjxx      BKRR      5812      88DC      11        土        12125111535
堓        an        fmdf      BLAE      5813      88DD      11        土        12125213112
堔        shen      fpqs      BWOF      5814      88DE      11        土        12145341234
堕        duo       bdef      YGQB      5815      B6E9      11        土        52132511121
堖        nao       fvtq      BZNO      5816      88DF      12        土        121555325341
堗        tu        fpwd      BWGS      5817      88E0      12        土        121445341344
堘        cheng     fudf      BUB       5818      88E1      12        土        121431134121
堙        yin       fsfg      BFB       5819      DCA7      12        土        121125221121
堚        huan      fplh      BWFK      581A      88E2      12        土        121451251112
堛        bi        fgkl      BAJK      581B      88E3      12        土        121125125121
堜        lian      fgli      BFLK      581C      88E4      12        土        121125431234
堝        wo        fmkg      BLJ       581D      88E5      11        土        12125525251
堞        die       fans      BEZF      581E      DCA6      12        土        121122151234
堟        zhuan     fxey      BZGQ      581F      88E6      12        土        121551353334
堠        hou       fwnd      BNXM      5820      DCA9      12        土        121325131134
堡        bao       wksf      NJFB      5821      B1A4      12        土        322511234121
堢        bao       fwks      BNJF      5822      88E7      12        土        121322511234
堣        yu        fjmy      BKLZ      5823      88E8      12        土        121251125214
堤        di        fjgh      BKAI      5824      B5CC      12        土        121251112134
堥        wu        cbtf      XSMB      5825      88E9      12        土        545233134121
堦        jie       fxxr      BRRN      5826      88EA      12        土        121153532511
堧        ruan      fdmd      BGGD      5827      88EB      12        土        121132522134
堨        ye        fjqn      BKRY      5828      88EC      12        土        121251135345
堩        geng      fngg      BUBK      5829      88ED      12        土        121442125111
堪        kan       fadn      BEZ       582A      BFB0      12        土        121122111345
堫        zong      fqbt      BOOR      582B      88EE      12        土        121345234354
堬        yu        fwgj      BOQK      582C      88EF      12        土        121341251122
堭        huang     frgg      BNC       582D      88F0      12        土        121325111121
堮        e         fkkn      BJBZ      582E      88F1      12        土        121251251115
堯        yao       atgq      BBBG      582F      88F2      12        土        121121121135
堰        yan       fajv      BHKZ      5830      D1DF      12        土        121125115315
報        fu        fufc      BUYX      5831      88F3      12        土        121431125254
堲        ji        vcbf      XOYB      5832      88F4      10        土        5115452121
堳        mei       fnhg      BXL       5833      88F5      12        土        121521325111
場        shang     fjgr      BKRO      5834      88F6      12        土        121251113533
堵        du        fftj      BBM       5835      B6C2      11        土        12112132511
堶        tuo       fdae      BGBQ      5836      88F7      12        土        121131212511
堷        yin       fujg      BSK       5837      88F8      12        土        121414312511
堸        feng      fmtj      BQI       5838      88F9      12        土        121353251214
堹        zhong     ftgf      BMKB      5839      88FA      12        土        121312511211
堺        jie       flwj      BKON      583A      88FB      12        土        121251213432
堻        jin       ivff      VXBB      583B      88FC      12        土        441511112121
堼        heng      ffff      BBDB      583C      88FD      12        土        121121124121
堽        gang      flgh      BLAI      583D      88FE      13        土        1212522112121
堾        chun      fdwj      BCO       583E      8940      12        土        121111342511
堿        xian      fdgt      BHAJ      583F      8941      12        土        121131251534
塀        ping      fnua      BXUE      5840      8942      12        土        121513431132
塁        lei       liff      KIVB      5841      8943      12        土        251214134121
塂        xing      fawn      BEOY      5842      8944      12        土        121122134515
塃        huang     fayq      BESN      5843      8945      12        土        121122415325
塄        leng      flyn      BLSY      5844      DCA8      12        土        121251124153
塅        duan      fwdc      BNCQ      5845      8946      12        土        121321113554
塆        wan       fyox      BSYZ      5846      8947      12        土        121412234515
塇        xuan      fpgg      BWBK      5847      8948      12        土        121445125111
塈        xi        vcaf      XORB      5848      8949      12        土        511541535121
塉        ji        fiwe      BVOQ      5849      894A      13        土        1214134342511
塊        kuai      frtc      BNJ       584A      894B      12        土        121325113554
塋        ying      apff      UOWB      584B      894C      13        土        4334433445121
塌        ta        fjng      BKYY      584C      CBFA      13        土        1212511541541
塍        cheng     eudf      QUB       584D      EBF3      13        土        2511431134121
塎        yong      fpwk      BWOJ      584E      894D      13        土        1214453434251
塏        kai       fmgu      BLJU      584F      894E      13        土        1212521251431
塐        su        fgxi      BCZ       5850      894F      13        土        1211121554234
塑        su        ubtf      UAQB      5851      CBDC      13        土        4315233511121
塒        shi       fjff      BKBD      5852      8950      13        土        1212511121124
塓        mi        fpju      BWSO      5853      8951      13        土        1214525114134
塔        ta        fawk      BEAJ      5854      CBFE      12        土        121122341251
塕        weng      fwcn      BOYY      5855      8952      13        土        1213454541541
塖        cheng     ftux      BMTR      5856      8953      13        土        1213122113534
塗        tu        iwtf      VOMB      5857      8954      13        土        4413411234121
塘        tang      fyvk      BTXJ      5858      CCC1      13        土        1214135112251
塙        que       fymk      BSJL      5859      8955      13        土        1214125125251
塚        zhong     fpey      BWGS      585A      8956      13        土        1214513533434
塛        li        fssy      BFF       585B      8957      13        土        1211252211234
塜        peng      dpge      BWAG      585C      8958      13        土        1214511353334
塝        bang      fupy      BSWS      585D      8959      13        土        1214143454153
塞        sai       pfjf      WDOB      585E      C8FB      13        土        4451122134121
塟        zang      agqf      EARB      585F      895A      12        土        122135435121
塠        dui       fwnp      BWMY      5860      895B      12        土        121325151454
塡        zhen      fxhw      BRLO      5861      895C      13        土        1213525111534
塢        wu        fqng      BRZA      5862      895D      13        土        1213251154444
塣        zheng     iktf      VJCB      5863      895E      13        土        4412511121121
塤        xun       fkmy      BJLO      5864      895F      13        土        1212512511134
塥        ge        fgkh      BAJL      5865      DCAA      13        土        1211251254312
塦        zhen      blff      YFB       5866      8960      12        土        521251112121
塧        ai        fuwl      BUOL      5867      8961      13        土        1214313425221
塨        gong      fawn      BEOU      5868      8962      13        土        1211221342444
塩        yan       ftkl      BMJL      5869      8963      13        土        1213125125221
塪        kan       fevg      BPNB      586A      8964      13        土        1213443321511
填        tian      ffhw      BELO      586B      CCEE      13        土        1211225111134
塬        yuan      fdri      BGNK      586C      DCAB      13        土        1211332511234
塭        wen       fjlg      BKLK      586D      8965      12        土        121251125221
塮        xie       ftmf      BNDS      586E      8966      13        土        1213251113124
塯        liu       fqyl      BRYK      586F      8967      13        土        1213545325121
塰        hai       itxf      VMZB      5870      8968      13        土        4413155414121
塱        lang      yecf      SXQB      5871      8969      13        土        4511543511121
塲        shang     ftjr      BMRO      5872      896A      14        土        12131251113533
塳        peng      ftdp      BWRC      5873      896B      13        土        1213541112454
塴        beng      fmee      BLQQ      5874      896C      14        土        12125235113511
塵        chen      ynjf      TXB       5875      896D      14        土        41352211535121
塶        lu        fynx      BTX       5876      896E      14        土        12141352211535
塷        lu        fhly      BIJO      5877      896F      14        土        12121253444441
塸        ou        fakk      BHJJ      5878      8970      14        土        12112512512515
塹        qian      lrff      FKPB      5879      8971      14        土        12511123312121
塺        mei       yssf      TGFB      587A      8972      14        土        41312341234121
塻        mo        fajd      BEKG      587B      8973      13        土        1211222511134
塼        zhuan     fgjf      BFDS      587C      8974      14        土        12112511214124
塽        shuang    fdqq      BGOO      587D      8975      14        土        12113434343434
塾        shu       ybvf      SJSB      587E      DBD3      14        土        41251521354121
塿        lou       flfv      BKZM      587F      8976      14        土        12125112512531
墀        chi       fnih      BXKM      5880      DCAF      15        土        121513241343112
墁        man       fjlc      BKLX      5881      DCAC      14        土        12125112522154
墂        biao      fsfi      BFBK      5882      8977      14        土        12112522111234
境        jing      fujq      BSKR      5883      BEB3      14        土        12141431251135
墄        ce        fdht      BHAK      5884      8978      14        土        12113211234534
墅        shu       jfcf      KBIB      5885      CAFB      14        土        25112115452121
墆        zhi       faqh      BEWL      5886      8979      14        土        12112213545252
墇        zhang     fujh      BSKE      5887      897A      14        土        12141431251112
墈        kan       fadl      BEZY      5888      897B      14        土        12112211134553
墉        yong      fyvh      BTXL      5889      DCAD      14        土        12141351125112
墊        dian      fuff      BUQB      588A      897C      14        土        12143112354121
墋        chen      fcce      BZOP      588B      897D      14        土        12154545434333
墌        zhuo      fyao      BTEU      588C      897E      14        土        12141312214444
墍        ji        rxaf      NKRB      588D      8980      14        土        32511351535121
墎        guo       dybb      BSYY      588E      8981      13        土        1214125152152
墏        qiang     nhdf      ZIDB      588F      8982      14        土        52133544124121
墐        qin       fakg      BEJC      5890      8983      14        土        12112212511121
墑        di        fumd      BSUL      5891      8984      14        土        12141432512251
墒        shang     fumk      BSUL      5892      C9CA      14        土        12141432534251
墓        mu        ajdf      EKGB      5893      C4B9      13        土        1222511134121
墔        cui       fmwg      BLNI      5894      8985      14        土        12125232411121
墕        yan       fgho      BAZU      5895      8986      14        土        12112121154444
墖        ta        fawk      BOJK      5896      8987      14        土        12134125125121
増        zeng      fulj      BUKK      5897      8988      14        土        12143251212511
墘        qian      ffjn      BEMY      5898      8989      14        土        12112251112315
墙        qiang     ffuk      BEJJ      5899      C7BD      14        土        12112431252511
墚        liang     fivs      BVOF      589A      DCAE      14        土        12144153441234
墛        wei       fnff      BXBD      589B      898A      14        土        12151311234124
墜        zhui      buef      YUGB      589C      898B      14        土        52431353334121
墝        qiao      fffq      BBBG      589D      898C      15        土        121121121121135
增        zeng      fulj      BULK      589E      D4F6      15        土        121431524312511
墟        xu        fhag      BIKU      589F      D0E6      14        土        12121531522431
墠        shan      fkkf      BJKE      58A0      898D      15        土        121251251251112
墡        shan      fudk      BUUJ      58A1      898E      15        土        121431112431251
墢        fei       fwxc      BXYQ      58A2      898F      15        土        121543345153554
墣        pu        fogy      BKUC      58A3      8990      15        土        121224314311134
墤        tui       fkhm      BJAL      58A4      8991      15        土        121251212511134
墥        tuan      fujf      BSKB      58A5      8992      15        土        121414312511211
墦        fan       ftol      BPKI      58A6      8993      15        土        121343123425121
墧        que       ftdk      BMJL      58A7      8994      15        土        121313425125251
墨        mo        lfof      LKUB      58A8      C4AB      15        土        254312114444121
墩        dun       fybt      BSYM      58A9      B6D5      15        土        121412515213134
墪        dun       ybtf      SJMB      58AA      8995      15        土        412515213134121
墫        zun       fusf      BUFD      58AB      8996      15        土        121431253511124
墬        di        bxef      YZGB      58AC      8997      14        土        52551353334121
墭        sheng     fdnl      BHYL      58AD      8998      14        土        12113553425221
墮        hui       bdaf      YGQB      58AE      8999      14        土        52131212511121
墯        duo       ndaf      UGQB      58AF      899A      15        土        442131212511121
墰        tan       fsjh      BFKE      58B0      899B      15        土        121125221251112
墱        deng      fwgu      BXJU      58B1      899C      15        土        121543341251431
墲        wu        frlo      BMEU      58B2      899D      15        土        121311222214444
墳        fen       ffam      BEEL      58B3      899E      15        土        121121222511134
墴        huang     famw      BEKO      58B4      899F      14        土        12112212512134
墵        tan       fffc      BFBZ      58B5      89A0      15        土        121145244441154
墶        da        ffup      BWBU      58B6      89A1      15        土        121121431112454
墷        ye        fagf      BEEB      58B7      89A2      13        土        1211221122112
墸        zhu       fafj      BEBM      58B8      89A3      14        土        12112212132511
墹        jian      fujg      BXK       58B9      89A4      15        土        121511225112511
墺        yu        ftmd      BNUG      58BA      89A5      15        土        121325431234134
墻        qiang     ffuk      BBJJ      58BB      89A6      16        土        1211234341252511
墼        ji        gjff      FKQB      58BC      DBD4      16        土        1251112523554121
墽        qiao      fryt      BNSM      58BD      89A7      16        土        1213251141533134
墾        ken       eevf      PQXB      58BE      89A8      16        土        3443533511234121
墿        yi        flff      BLBU      58BF      89A9      16        土        1212522112143112
壀        pi        fnku      BXJS      58C0      89AA      16        土        1215132514143112
壁        bi        nkuf      XMSB      58C1      B1DA      16        土        5132514143112121
壂        dian      nawf      XMQB      58C2      89AB      16        土        5131221343554121
壃        jiang     fglg      BCKK      58C3      89AC      16        土        1211251211251211
壄        ye        scbf      FXFB      58C4      89AD      16        土        1234545231234121
壅        yong      yxtf      SZNB      58C5      DBD5      16        土        4155332411121121
壆        xue       wfqf      NBOB      58C6      89AE      16        土        3211343451145121
壇        tan       fylg      BSKA      58C7      89AF      16        土        1214125251125111
壈        lan       fylt      BSJM      58C8      89B0      16        土        1214125251131234
壉        ju        fhae      BIGQ      58C9      89B1      16        土        1212153151353334
壊        huai      ffle      BESR      58CA      89B2      16        土        1211225221413534
壋        dang      fipl      BKJK      58CB      89B3      16        土        1212434525125121
壌        rang      fufe      BSER      58CC      89B4      16        土        1214134112213534
壍        qian      ilrf      VFPB      58CD      89B5      17        土        44112511123312121
壎        xun       ftgo      BMBU      58CE      89B6      17        土        12131254312114444
壏        xian      fahl      BHML      58CF      89B7      17        土        12112512531425221
壐        xi        gwmf      AOOB      58D0      89B8      17        土        13425234343434121
壑        he        hpgf      IDXB      58D1      DBD6      17        土        21451343425154121
壒        ai        fafl      BEZL      58D2      89B9      16        土        1211221215425221
壓        ya        djef      GGSB      58D3      89BA      17        土        13251125111344121
壔        dao       ffnf      BBJD      58D4      89BB      17        土        12112151211251124
壕        hao       fype      BSWG      58D5      BABE      17        土        12141251451353334
壖        ruan      ffdj      BFGL      58D6      89BC      17        土        12114524444132522
壗        jin       fvgl      BXUL      58D7      89BD      17        土        12151121444425221
壘        lv        cccf      KIKB      58D8      89BE      18        土        251212512125121121
壙        kuang     fyaw      BTG       58D9      89BF      17        土        12141312212512134
壚        lu        fhal      BIKL      58DA      89C0      19        土        1212153152512125221
壛        yan       fuvv      BXRN      58DB      89C1      19        土        1215112251135321511
壜        tan       fjfc      BKBZ      58DC      89C2      19        土        1212511145244441154
壝        wei       fkhp      BWAL      58DD      89C3      18        土        121251212511134454
壞        hui       fyle      BSKR      58DE      89C4      19        土        1214125221241343534
壟        long      uegf      SIB       58DF      89C5      20        土        41431251121515111121
壠        long      fuen      BSI       58E0      89C6      20        土        12141431251121515111
壡        rui       hpgf      IDXB      58E1      89C7      19        土        2145134342511154121
壢        li        fdth      BGMI      58E2      89C8      19        土        1211331234312342121
壣        lin       fbxh      BCZZ      58E3      89C9      20        土        12112211155455453212
壤        rang      fyke      BSER      58E4      C8C0      20        土        12141251251112213534
壥        chan      fdlf      BGUB      58E5      89CA      20        土        12113254312114444121
壦        xun       faky      BEJN      58E6      89CB      20        土        12112225125132411121
壧        yan       fkkt      BJCM      58E7      89CC      22        土        1212512511351221113134
壨        lei       lllf      KIKB      58E8      89CD      23        土        25121251212512125121121
壩        ba        ffae      BFEQ      58E9      89CE      24        土        121145244441221251123511
壪        wan       fxyx      BZYZ      58EA      89CF      25        土        1214111251554444554444515
士        shi       fghg      BAA       58EB      CABF      3         士        121
壬        ren       tfd       MBVV      58EC      C8C9      4         士        3121
壭        san       fbj       BYVV      58ED      89D0      5         士        12152
壮        zhuang    ufg       TIB       58EE      D7B3      6         士        412121
壯        zhuang    nhdf      ZIB       58EF      89D1      7         士        5213121
声        sheng     fnr       BXM       58F0      C9F9      7         士        1215213
壱        yi        fpxb      BWRR      58F1      89D2      7         士        1214535
売        mai       fnud      BWRD      58F2      89D3      7         士        1214535
壳        ke        fpmb      BWQD      58F3      BFC7      7         士        1214535
壴        zhu       fkuf      BJUA      58F4      89D4      9         士        121251431
壵        zhuang    ffff      BBB       58F5      89D5      9         士        121121121
壶        hu        fpog      BWKU      58F6      BAF8      10        士        1214522431
壷        hu        fpkg      BWKA      58F7      89D6      11        士        12145251221
壸        kun       fpgg      BWAK      58F8      89D7      11        士        12145122431
壹        yi        fpgu      BWJU      58F9      D2BC      12        士        121451251431
壺        hu        fphg      BWIA      58FA      89D8      12        士        121452155121
壻        xu        fnhe      BXIQ      58FB      89D9      12        士        121521342511
壼        kun       fpgg      BWBZ      58FC      89DA      13        士        1214512155121
壽        shou      fnaf      BXJD      58FD      89DB      14        士        12151211251154
壾        mang      fkun      BJHX      58FE      89DC      13        士        1212514311515
壿        dun       fusf      BUFD      58FF      89DD      15        士        121431253511124
夀        shou      fnkf      BIJD      5900      89DE      14        士        11525121251124
夁        yi        flld      BLEJ      5901      89DF      16        士        1212522125122511
夂        dong      ttny      RSA       5902      E2BA      3         夂        354
夃        ying      eci       YMXS      5903      89E0      4         夂        5354
处        chu       thi       RSID      5904      B4A6      5         夂        35424
夅        jiang     tahj      RSMB      5905      89E1      6         夂        354152
夆        pang      tdhj      RSCI      5906      89E2      7         夂        3541112
备        bei       tlf       RSKI      5907      B1B8      8         夂        35425121
夈        zhai      tou       RSUF      5908      89E3      9         夂        354431234
変        bian      yotu      SNOR      5909      89E4      9         夂        413234354
夊        sui       ttny      RSA       590A      89E5      3         夂        354
夋        qun       cwtu      ZSOR      590B      89E6      7         夂        5434354
夌        ling      fqtu      BORS      590C      89E7      8         夂        12134354
复        fu        tjtu      MAKR      590D      B8B4      9         夂        312511354
夎        cuo       wwft      ODBR      590E      89E8      10        夂        3434121354
夏        xia       dhtu      ANRS      590F      CFC4      10        夂        1325111354
夐        xuan      qmwt      RLLR      5910      89E9      14        夂        35253425111354
夑        xie       oyot      UOUR      5911      89EA      18        夂        411125143344334354
夒        nao       ghtt      AIOR      5912      89EB      19        夂        1325111212151534354
夓        xia       qgdt      NBOR      5913      89EC      18        夂        132511135151134354
夔        kui       uhtt      UAOR      5914      D9E7      21        夂        431325111212151534354
夕        xi        qtny      RS        5915      CFA6      3         夕        354
外        wai       qhy       RSID      5916      CDE2      5         夕        35424
夗        yuan      qbn       RSYY      5917      89ED      5         夕        35455
夘        wan       qbh       RSY       5918      89EE      5         夕        35452
夙        su        mgqi      QDAR      5919      D9ED      6         夕        351354
多        duo       qqu       R/RSRS    591A      B6E0      6         夕        354354
夛        zhi       vqu       XBRS      591B      89EF      6         夕        511354
夜        ye        ywty      SNRS      591C      D2B9      8         夕        41323544
夝        qing      qtgg      RSMC      591D      89F0      8         夕        35431121
夞        oes       qhkx      RSJR      591E      89F1      10        夕        3542425135
够        gou       qkqq      RYRR      591F      B9BB      11        夕        35251354354
夠        gou       qkqq      RSRJ      5920      89F2      11        夕        35435435251
夡        qi        qqfk      RSBJ      5921      89F3      12        夕        354354121251
夢        meng      alpq      ELWR      5922      89F4      13        夕        1222522145354
夣        meng      yclq      SZWR      5923      89F5      14        夕        41542522145354
夤        yin       qpgw      RSKO      5924      E2B9      14        夕        35444512512134
夥        huo       jsqq      KFRR      5925      E2B7      14        夕        25111234354354
夦        chen      adwq      ECRR      5926      89F6      15        夕        122111345354354
大        da        dddd      GD        5927      B4F3      3         大        134
夨        ze        ndi       ZAS       5928      89F7      3         大        154
天        tian      gdi       AGD       5929      CCEC      4         大        1134
太        tai       dyi       GDS       592A      CCAB      4         大        1344
夫        fu        fwi       BDOD      592B      B7F2      4         大        1134
夬        jue       nwi       XGD       592C      89F8      4         大        5134
夭        yao       tdi       MGD       592D      D8B2      4         大        3134
央        yang      mdi       LDGD      592E      D1EB      5         大        25134
夯        ben       dlb       GDYM      592F      BABB      5         大        13453
夰        gao       djj       GDND      5930      89F9      5         大        13432
失        shi       rwi       MBOD      5931      CAA7      5         大        31134
夲        tao       dfj       GDED      5932      89FA      5         大        13412
夳        tai       dff       GDBD      5933      89FB      5         大        13411
头        tou       udi       TDGD      5934      CDB7      5         大        44134
夵        yan       diu       GDKO      5935      89FC      6         大        134234
夶        bi        ddy       GDGD      5936      89FD      6         大        134134
夷        yi        gxwi      GDYZ      5937      D2C4      6         大        151534
夸        kua       dfnb      GDBZ      5938      BFE4      6         大        134115
夹        jia       guwi      BDUO      5939      BCD0      6         大        143134
夺        duo       dfu       GDDS      593A      B6E1      6         大        134124
夻        hwa       dkf       GDJ       593B      89FE      6         大        134251
夼        kuang     dkj       GDND      593C      DEC5      6         大        134322
夽        yun       dfcu      GDBZ      593D      8A40      7         大        1341154
夾        xie       dwwi      GDOO      593E      8A41      7         大        1343434
夿        ba        dcb       GDYI      593F      8A42      7         大        1345215
奀        en        didu      GIGD      5940      8A43      7         大        1324134
奁        lian      daqu      GDHO      5941      DEC6      7         大        1341345
奂        huan      qmdu      RLGD      5942      DBBC      7         大        3525134
奃        ti        dqay      GDRS      5943      8A44      8         大        13435154
奄        yan       djnb      GDKZ      5944      D1D9      8         大        13425115
奅        pao       dqtb      GDMY      5945      8A45      8         大        13435352
奆        juan      danf      GDHX      5946      8A46      7         大        1341515
奇        qi        dskf      GDAJ      5947      C6E6      8         大        13412512
奈        nai       dfiu      GDBK      5948      C4CE      8         大        13411234
奉        feng      dwfh      COBI      5949      B7EE      8         大        11134112
奊        xie       ffnd      BBZS      594A      8A47      9         大        121121154
奋        fen       dlf       GDKI      594B      B7DC      8         大        13425121
奌        dian      hkdu      IDJG      594C      8A48      8         大        21251134
奍        yang      udjj      UBND      594D      8A49      8         大        43113432
奎        kui       dfff      GDBB      594E      BFFC      9         大        134121121
奏        zou       dwgd      COAG      594F      D7E0      9         大        111341134
奐        huan      qmqd      RLGD      5950      8A4A      9         大        352534134
契        qi        dhvd      CIYG      5951      C6F5      9         大        111253134
奒        kai       dynw      GDZO      5952      8A4B      9         大        134415334
奓        zha       dqqu      GDRR      5953      8A4C      9         大        134354354
奔        ben       dfaj      GDEE      5954      B1BC      8         大        13412132
奕        yi        yodu      SNOG      5955      DEC8      9         大        413234132
奖        jiang     uqdu      TIRG      5956      BDB1      9         大        412354134
套        tao       ddu       GDCH      5957      CCD7      10        大        1341211154
奘        zang      nhdd      ZIBG      5958      DECA      10        大        5213121134
奙        ben       cdjn      ZSKZ      5959      8A4D      10        大        5413425115
奚        xi        exdu      PVZG      595A      DEC9      10        大        3443554134
奛        huang     djef      GDKQ      595B      8A4E      11        大        13425113511
奜        fei       djdd      KCGD      595C      8A4F      11        大        21112111134
奝        diao      dmfk      GDBJ      595D      8A50      11        大        13435121251
奞        xun       dwyf      GDNI      595E      8A51      11        大        13432411121
奟        keng      deef      GDQQ      595F      8A52      11        大        13435113511
奠        dian      usgd      UDFG      5960      B5EC      12        大        431253511134
奡        ao        dhdj      ANGN      5961      8A53      12        大        132511113432
奢        she       dftj      GDBM      5962      C9DD      11        大        13412132511
奣        weng      gdje      AGKQ      5963      8A54      12        大        113425113511
奤        tai       ddmf      GDJK      5964      8A55      12        大        134132522111
奥        ao        tmod      NLUG      5965      B0C2      12        大        325431234134
奦        wu        cbtd      XSYG      5966      8A56      13        大        5452335453134
奧        ao        tmtd      NLPG      5967      8A57      13        大        3253431234134
奨        jiang     uefd      TIDG      5968      8A58      13        大        4123443124134
奩        lian      dakk      GDJJ      5969      8A59      14        大        13412512512515
奪        duo       dwyf      GDND      596A      8A5A      14        大        13432411121124
奫        yun       dith      GDVN      596B      8A5B      15        大        134441321155212
奬        jiang     nhdd      ZIDG      596C      8A5C      14        大        52133544124134
奭        shi       ddjj      GDAN      596D      8A5D      15        大        113251113251134
奮        fen       dwyl      GDNK      596E      8A5E      16        大        1343241112125121
奯        huo       dhdt      GDAK      596F      8A5F      16        大        1342121131233534
奰        bi        llld      LKLG      5970      8A60      18        大        252212522125221134
奱        luan      xyxd      ZSGD      5971      8A61      22        大        4111251554444554444134
奲        duo       dftf      GDKE      5972      8A62      23        大        13412132511251251251112
女        nv        vvvv      ZM        5973      C5AE      3         女        531
奴        nu        vcy       ZMXS      5974      C5AB      5         女        53154
奵        ting      vsh       ZMAI      5975      8A63      5         女        53112
奶        nai       ven       ZMYM      5976      C4CC      5         女        53153
奷        qian      vtfh      ZMME      5977      8A64      6         女        531312
奸        jian      vfh       ZMAE      5978      BCE9      6         女        531112
她        ta        vbn       ZMYI      5979      CBFD      6         女        531525
奺        jiu       vqyy      ZMRS      597A      8A65      6         女        531354
奻        nuan      vvg       ZMZM      597B      8A66      6         女        531531
奼        cha       vtan      ZMMH      597C      8A67      6         女        531315
好        hao       vbg       ZMYA      597D      BAC3      6         女        531521
奾        xian      vmh       ZMLL      597E      8A68      6         女        531252
奿        fan       vyvd      QYAZ      597F      8A69      6         女        354531
妀        ji        nvg       YYZM      5980      8A6A      6         女        515531
妁        shuo      vqyy      ZMRS      5981      E5F9      6         女        531354
如        ru        vkg       ZMJ       5982      C8E7      6         女        531251
妃        fei       vnn       ZMYY      5983      E5FA      6         女        531515
妄        wang      ynvf      SHZM      5984      CDFD      6         女        415531
妅        hong      vag       ZMBI      5985      8A6B      6         女        531121
妆        zhuang    uvg       TIZM      5986      D7B1      6         女        412531
妇        fu        vvg       ZMXB      5987      B8BE      6         女        531511
妈        ma        vcg       ZMX       5988      C2E8      6         女        531551
妉        dan       vpqn      ZMWR      5989      8A6C      7         女        5314535
妊        ren       vtfg      ZMMB      598A      C8D1      7         女        5313121
妋        you       vffy      ZMBO      598B      8A6D      7         女        5311134
妌        jing      vfjh      ZMBN      598C      8A6E      7         女        5311132
妍        yan       vgah      ZMAE      598D      E5FB      7         女        5311132
妎        jie       vwjh      ZMON      598E      8A6F      7         女        5313432
妏        wen       vyu       ZMSO      598F      8A70      7         女        5314134
妐        zhong     vwcy      ZMOZ      5990      8A71      7         女        5313454
妑        pa        vcn       ZMYI      5991      8A72      7         女        5315215
妒        du        vynt      ZMWM      5992      B6CA      7         女        5314513
妓        ji        vfcy      ZMEX      5993      BCCB      7         女        5311254
妔        keng      vymn      ZMSQ      5994      8A73      7         女        5314135
妕        zhong     vkhh      ZMJI      5995      8A74      7         女        5312512
妖        yao       vtdy      ZMMG      5996      D1FD      7         女        5313134
妗        jin       vwyn      ZMSX      5997      E6A1      7         女        5313445
妘        yun       vfcy      ZMBZ      5998      8A75      7         女        5311154
妙        miao      vitt      ZMKM      5999      C3EE      7         女        5312343
妚        pi        vgiy      ZMGI      599A      8A76      7         女        5311324
妛        chi       bhgv      ZIAZ      599B      8A77      7         女        5221531
妜        yue       vnwy      ZMXG      599C      8A78      7         女        5315134
妝        zhuang    nhdv      ZIZM      599D      8A79      7         女        5213531
妞        niu       vnfg      ZMXE      599E      E6A4      7         女        5315211
妟        yan       jvf       KZM       599F      8A7A      7         女        2511531
妠        nan       vmwy      ZMLO      59A0      8A7B      7         女        5312534
妡        xin       vrh       ZMPD      59A1      8A7C      7         女        5313312
妢        fen       vwvn      ZMOY      59A2      8A7D      7         女        5313453
妣        bi        vxxn      ZMRR      59A3      E5FE      7         女        5311535
妤        yu        vcbh      ZMXI      59A4      E6A5      7         女        5315452
妥        tuo       evf       PVZM      59A5      CDD7      7         女        3443531
妦        feng      vdhy      ZMCI      59A6      8A7E      7         女        5311112
